Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Chen, X., Zhang, Y., Zhang, H., Zhang, L., Liu, L., Cao, Y., Ran, H., Tian, J.","57220785988; 57222267846; 57222483635; 57200690109; 57222267784; 57188868069; 23499506900; 57205788564","A non-invasive nanoparticles for multimodal imaging of ischemic myocardium in rats",2021,"Journal of Nanobiotechnology",19,"1", 82,,,,,10.1186/s12951-021-00822-7,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85102814173&partnerID=40&md5=a0dc92c02fee0f460247c113db9e4f21",Article,Final,Open Access,Scopus,2-s2.0-85102814173
"Jing, B., Gai, Y., Qian, R., Liu, Z., Zhu, Z., Gao, Y., Lan, X., An, R.","57215488805; 56157367200; 57221312229; 57200320494; 57221308127; 57221306507; 9247201100; 7007046187","Hydrophobic insertion-based engineering of tumor cell-derived exosomes for SPECT/NIRF imaging of colon cancer",2021,"Journal of Nanobiotechnology",19,"1", 7,,,,,10.1186/s12951-020-00746-8,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85098787167&partnerID=40&md5=e62478aff8f10cc5749d02b365507029",Article,Final,Open Access,Scopus,2-s2.0-85098787167
"Penedo, M., Shirokawa, T., Alam, M.S., Miyazawa, K., Ichikawa, T., Okano, N., Furusho, H., Nakamura, C., Fukuma, T.","35109573700; 57222812547; 57222816205; 57221306648; 57222812863; 57222808981; 57219408049; 57221912509; 7006634114","Cell penetration efficiency analysis of different atomic force microscopy nanoneedles into living cells",2021,"Scientific Reports",11,"1", 7756,,,,,10.1038/s41598-021-87319-3,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85104060618&partnerID=40&md5=78972d5c4e4b2d1d54b9b64974457464",Article,Final,Open Access,Scopus,2-s2.0-85104060618
"Liu, M., Du, X., Xu, K., Yan, B., Fan, Z., Gao, Z., Ren, X.","57215013969; 57222155425; 57214992502; 57215008079; 57215004871; 55779885300; 7401875709","A cationic quantum dot-based ratiometric fluorescent probe to visually detect berberine hydrochloride in human blood serums",2021,"Journal of Analytical Science and Technology",12,"1", 11,,,,,10.1186/s40543-021-00261-x,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85101724353&partnerID=40&md5=59b8c8f1360c44e2b01253446a704b21",Article,Final,Open Access,Scopus,2-s2.0-85101724353
"Kim, H.-M., Kim, J., An, J., Bock, S., Pham, X.-H., Huynh, K.-H., Choi, Y., Hahm, E., Song, H., Kim, J.-W., Rho, W.-Y., Jeong, D.H., Lee, H.-Y., Lee, S., Jun, B.-H.","55974783500; 37028419500; 57214120946; 57219056575; 35119499400; 26648389800; 57222369696; 57004611300; 57222373837; 57222376326; 55974773600; 57221912238; 56237826800; 57202327303; 35229652600","Au–Ag assembled on silica nanoprobes for visual semiquantitative detection of prostate-specific antigen",2021,"Journal of Nanobiotechnology",19,"1", 73,,,,1,10.1186/s12951-021-00817-4,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85102498334&partnerID=40&md5=1ede1cb906fccdb5d4a4ed041f640451",Article,Final,Open Access,Scopus,2-s2.0-85102498334
"Fang, H., Gai, Y., Wang, S., Liu, Q., Zhang, X., Ye, M., Tan, J., Long, Y., Wang, K., Zhang, Y., Lan, X.","57211255247; 56157367200; 57207088508; 56768321600; 57005818800; 57215524799; 57222466234; 57212929011; 57222471441; 55888809400; 9247201100","Biomimetic oxygen delivery nanoparticles for enhancing photodynamic therapy in triple-negative breast cancer",2021,"Journal of Nanobiotechnology",19,"1", 81,,,,,10.1186/s12951-021-00827-2,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85102766746&partnerID=40&md5=56dbe8d15558ff84340cc7857ad32ca9",Article,Final,Open Access,Scopus,2-s2.0-85102766746
"Ghosh, S., Gul, A.R., Park, C.Y., Kim, M.W., Xu, P., Baek, S.H., Bhamore, J.R., Kailasa, S.K., Park, T.J.","57220950580; 57204715829; 57193117267; 57203751006; 57219264832; 57191841269; 56537111400; 25930861200; 57218374464","Facile synthesis of carbon dots from Tagetes erecta as a precursor for determination of chlorpyrifos via fluorescence turn-off and quinalphos via fluorescence turn-on mechanisms",2021,"Chemosphere",279,"", 130515,,,,,10.1016/j.chemosphere.2021.130515,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85104070798&partnerID=40&md5=dcb1f60ea115ab238583e9a2d2b56822",Article,Final,,Scopus,2-s2.0-85104070798
"Yang, K., Hou, L., Li, Z., Lin, T., Tian, J., Zhao, S.","57211270168; 57221780666; 57223008362; 55859731000; 57223017569; 7403578635","A mitochondria-targeted ratiometric fluorescent nanoprobe for imaging of peroxynitrite in living cells",2021,"Talanta",231,"", 122421,,,,,10.1016/j.talanta.2021.122421,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85104422294&partnerID=40&md5=1951df3f89ed5f59049632ed53517369",Article,Final,,Scopus,2-s2.0-85104422294
"Yang, G., He, Y., Zhao, J., Chen, S., Yuan, R.","57220162203; 57213414244; 57211949806; 36553976700; 7202708509","Ratiometric electrochemiluminescence biosensor based on Ir nanorods and CdS quantum dots for the detection of organophosphorus pesticides",2021,"Sensors and Actuators, B: Chemical",341,"", 130008,,,,,10.1016/j.snb.2021.130008,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85104612669&partnerID=40&md5=98851bdc24cae2a666e5aa7edff7c553",Article,Final,,Scopus,2-s2.0-85104612669
"Sun, J., Feng, A., Wu, X., Che, X., Zhou, W.","57216948943; 57215576964; 8400106200; 57222665621; 57222666367","Enhanced Tb(III) fluorescence on gelatin-coated silver nanoparticles in dopamine detection",2021,"Talanta",231,"", 122334,,,,,10.1016/j.talanta.2021.122334,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85103694042&partnerID=40&md5=1d41e9b4cc12cd8701c51cce472a7753",Article,Final,,Scopus,2-s2.0-85103694042
"Wang, K., Ding, Y., Yang, W., Wen, X., Zhao, H., Liu, Y., Hong, X.","55799043900; 54888705500; 57198594060; 57209652988; 56079625400; 57222604940; 36019216000","Fluorescence-infrared absorption dual-mode nanoprobes based on carbon dots@SiO<inf>2</inf> nanorods for ultrasensitive and reliable detection of carcinoembryonic antigen",2021,"Talanta",230,"", 122342,,,,,10.1016/j.talanta.2021.122342,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85103400817&partnerID=40&md5=ec2d398be8fb6fe7f755c6396c5bb436",Article,Final,,Scopus,2-s2.0-85103400817
"Tang, W., Mi, R., Wang, L., Chen, H.","57223046270; 57223040011; 35262951600; 7501609521","Quantitative image analysis for sensing HIV DNAs based on NaGdF<inf>4</inf>:Yb,Er@NaYF<inf>4</inf> upconversion luminescent probe and magnetic beads",2021,"Sensors and Actuators, B: Chemical",340,"", 129969,,,,,10.1016/j.snb.2021.129969,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85104601331&partnerID=40&md5=0c3c02a0e0cd0a045ac7b40c55d95f46",Article,Final,,Scopus,2-s2.0-85104601331
"Cai, Z., Zhu, R., Zhang, S., Wu, L., Li, J., Huang, S., Ma, X.","57212462819; 28168109300; 57218884179; 57216134062; 57222599450; 57222597873; 57215565272","A highly sensitive and selective “turn off” fluorescent sensor based on water soluble copper nanoclusters for morin and temperature sensing",2021,"Journal of Luminescence",236,"", 118108,,,,,10.1016/j.jlumin.2021.118108,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85104093355&partnerID=40&md5=fb720e1210d9f67b8b81ee800b35c076",Article,Final,,Scopus,2-s2.0-85104093355
"Sanchez, T., Zanna, S., Seyeux, A., Vaudescal, M., Marcus, P., Volovitch, P., Światowska, J.","57213067938; 6506241700; 23101757100; 57212220245; 24284980100; 6506874575; 26538992300","Conversion coating distribution on rough substrates analyzed by combining surface analytical techniques",2021,"Applied Surface Science",556,"", 149734,,,,,10.1016/j.apsusc.2021.149734,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85104366389&partnerID=40&md5=59e74efe1dca27668c3b86581651351a",Article,Final,,Scopus,2-s2.0-85104366389
"Chen, J., Jiang, S., Wang, M., Xie, X., Su, X.","57205557618; 57222712062; 57188973309; 57216221201; 7402182203","Self-assembled dual-emissive nanoprobe with metal−organic frameworks as scaﬀ; olds for enhanced ascorbic acid and ascorbate oxidase sensing",2021,"Sensors and Actuators, B: Chemical",339,"", 129910,,,,,10.1016/j.snb.2021.129910,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85103768509&partnerID=40&md5=93b938fe350fdff899fba5f1a376ca23",Article,Final,,Scopus,2-s2.0-85103768509
"Golsanamlou, Z., Soleymani, J., Abbaspour, S., Siahi-Shadbad, M., Rahimpour, E., Jouyban, A.","55789426500; 36167829800; 57202249352; 35609204300; 55251532900; 7003522866","Sensing and bioimaging of lead ions in intracellular cancer cells and biomedical media using amine-functionalized silicon quantum dots fluorescent probe",2021,"Spectrochimica Acta - Part A: Molecular and Biomolecular Spectroscopy",256,"", 119747,,,,,10.1016/j.saa.2021.119747,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85103774514&partnerID=40&md5=6d9d020775c5bb79940b27b3ce9d2a64",Article,Final,,Scopus,2-s2.0-85103774514
"Feng, Y., Su, Y., Liu, R., Lv, Y.","57204135258; 57221089543; 56359165200; 57214743663","Engineering activatable nanoprobes based on time-resolved luminescence for chemo/biosensing",2021,"TrAC - Trends in Analytical Chemistry",140,"", 116283,,,,,10.1016/j.trac.2021.116283,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85103991379&partnerID=40&md5=d02d92c9cce2fe5c3642257e33d4b869",Review,Final,,Scopus,2-s2.0-85103991379
"Refat H. Ali, H., Hassan, A.I., Hassan, Y.F., El-Wekil, M.M.","57221846794; 23094193600; 57212006840; 56192749700","Colorimetric and fluorometric nanoprobe for selective and sensitive recognition of hazardous colorant indigo carmine in beverages based on ion pairing with nitrogen doped carbon dots",2021,"Food Chemistry",349,"", 129160,,,,,10.1016/j.foodchem.2021.129160,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85100408107&partnerID=40&md5=948f9f009cc8779efcabb19f32438241",Article,Final,,Scopus,2-s2.0-85100408107
"Xiao, D., Chen, Y., Li, D.D.-U.","57221473281; 7601431251; 57221490745","One-Dimensional Deep Learning Architecture for Fast Fluorescence Lifetime Imaging",2021,"IEEE Journal of Selected Topics in Quantum Electronics",27,"4", 9314015,,,,,10.1109/JSTQE.2021.3049349,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85099189434&partnerID=40&md5=03a5250be92ecf51248fc633d28b2bba",Article,Final,,Scopus,2-s2.0-85099189434
"Tall, A., Antônio Cunha, F., Kaboré, B., d'Angeles do E. S. Barbosa, C., Rocha, U., Sales, T.O., Fonseca Goulart, M.O., Tapsoba, I., Carinhanha Caldas Santos, J.","57218768754; 57222714977; 56125028600; 57222712245; 54908884700; 57193876678; 57222714287; 6508027320; 56652174400","Green emitting N, P-doped carbon dots as efficient fluorescent nanoprobes for determination of Cr(VI) in water and soil samples",2021,"Microchemical Journal",166,"", 106219,,,,,10.1016/j.microc.2021.106219,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85103756903&partnerID=40&md5=fe6d46ca38ed829f11cfd9317162bd97",Article,Final,,Scopus,2-s2.0-85103756903
"Hu, X., Zhao, Y., Dong, J., Liu, C., Qi, Y., Fang, G., Wang, S.","57212227646; 57222543259; 57222541230; 57190140027; 57194330177; 7201871563; 57212200679","A strong blue fluorescent nanoprobe based on Mg/N co-doped carbon dots coupled with molecularly imprinted polymer for ultrasensitive and highly selective detection of tetracycline in animal-derived foods",2021,"Sensors and Actuators, B: Chemical",338,"", 129809,,,,,10.1016/j.snb.2021.129809,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85103111584&partnerID=40&md5=bd1d9977e14845399c890d33310f430a",Article,Final,,Scopus,2-s2.0-85103111584
"Kan, A., Wang, S., Zhang, L., Xu, X., Zhang, N., Jiang, W.","57219782881; 57191713079; 57219202982; 56729240700; 56994168500; 55747970100","A functional DNA-modified dual-response gold nanoprobe for simultaneously imaging the acidic microenvironment and membrane proteins of tumor cells",2021,"Talanta",229,"", 122284,,,,,10.1016/j.talanta.2021.122284,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85102873586&partnerID=40&md5=5cc643bff8a25f9e0430eb9f9be87d86",Article,Final,,Scopus,2-s2.0-85102873586
"Zhou, S., Jiao, X., Jiang, Y., Zhao, Y., Xue, P., Liu, Y., Liu, J.","57222391138; 57211535323; 57208499135; 57211496559; 55632699800; 8634101900; 57211671415","Engineering Eu<sup>3+</sup>-incorporated MoS<inf>2</inf> nanoflowers toward efficient photothermal/photodynamic combination therapy of breast cancer",2021,"Applied Surface Science",552,"", 149498,,,,,10.1016/j.apsusc.2021.149498,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85102564938&partnerID=40&md5=b798356a5b01d0ba0cdc43e54c4a344e",Article,Final,,Scopus,2-s2.0-85102564938
"Ahn, H., Kim, S., Kim, Y., Kim, S., Choi, J.-R., Kim, K.","57189033803; 57205282970; 57222362589; 7601603101; 24773058200; 35290573900","Plasmonic sensing, imaging, and stimulation techniques for neuron studies",2021,"Biosensors and Bioelectronics",182,"", 113150,,,,,10.1016/j.bios.2021.113150,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85103125616&partnerID=40&md5=50ab5d7986ab9762142b51a93f09a423",Review,Final,,Scopus,2-s2.0-85103125616
"Su, P., Liang, L., Wang, T., Zhou, P., Cao, J., Liu, W.-S., Tang, Y.","57190033394; 57216702793; 57221130279; 29167665600; 56660139400; 55723548700; 57193888540","AIE-based Tb<sup>3+</sup> complex self-assembled nanoprobe for ratiometric fluorescence detection of anthrax spore biomarker in water solution and actual spore samples",2021,"Chemical Engineering Journal",413,"", 127408,,,,,10.1016/j.cej.2020.127408,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85093914850&partnerID=40&md5=6227dc1b7d168eeb79bbf3ad5f8a915b",Article,Final,,Scopus,2-s2.0-85093914850
"Paviolo, C., Cognet, L.","46062460500; 6603671892","Near-infrared nanoscopy with carbon-based nanoparticles for the exploration of the brain extracellular space",2021,"Neurobiology of Disease",153,"", 105328,,,,1,10.1016/j.nbd.2021.105328,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85102578915&partnerID=40&md5=7cd65a9744ca4d5c34c9ca87840880c0",Review,Final,Open Access,Scopus,2-s2.0-85102578915
"Zhou, T., Lu, D., She, Q., Chen, C., Chen, J., Huang, Z., Feng, S., You, R., Lu, Y.","57203361282; 57202419290; 57221705480; 57216617032; 57219313755; 57221145305; 8587328300; 35184579700; 55506517900","Hypersensitive detection of IL-6 on SERS substrate calibrated by dual model",2021,"Sensors and Actuators, B: Chemical",336,"", 129597,,,,,10.1016/j.snb.2021.129597,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85102897277&partnerID=40&md5=336dd83593e0ada9ca0359461b535d5d",Article,Final,,Scopus,2-s2.0-85102897277
"Xi, L., Barbieri, E., Wang, P., Wu, W., Gupta, H.","57052262900; 25029989200; 57189519563; 57194469872; 7201692234","Separating effects of bone-quality changes at multiple scales in steroid-induced osteoporosis: Combining multiscale experimental and modelling approaches",2021,"Mechanics of Materials",157,"", 103821,,,,,10.1016/j.mechmat.2021.103821,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85102346858&partnerID=40&md5=ddd537e2616d007eed80033d004fafe0",Article,Final,,Scopus,2-s2.0-85102346858
"Yang, J., He, S., Hu, Z., Zhang, Z., Cao, C., Cheng, Z., Fang, C., Tian, J.","57219426440; 56440610000; 55705500900; 57192923633; 57208532085; 7401815487; 7403269954; 57219101205","In vivo multifunctional fluorescence imaging using liposome-coated lanthanide nanoparticles in near-infrared-II/IIa/IIb windows",2021,"Nano Today",38,"", 101120,,,,,10.1016/j.nantod.2021.101120,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85102302303&partnerID=40&md5=7ca3ef8b896f06c1077f1399c8cb5626",Article,Final,,Scopus,2-s2.0-85102302303
"Yang, Y., Li, R., Zhang, S., Zhang, X.","57188629500; 57222100587; 35232020500; 35108563900","A fluorescent nanoprobe based on cell-penetrating peptides and quantum dots for ratiometric monitoring of pH fluctuation in lysosomes",2021,"Talanta",227,"", 122208,,,,,10.1016/j.talanta.2021.122208,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85101408862&partnerID=40&md5=2f0c22d66556afdb2b8a07faf146ab32",Article,Final,,Scopus,2-s2.0-85101408862
"Liu, L., Zhang, Q., Li, F., Wang, M., Sun, J., Zhu, S.","57211989511; 57222084323; 57222100963; 57222096874; 57221310687; 55476215800","Fluorescent DNA-templated silver nanoclusters for highly sensitive detection of D-penicillamine",2021,"Spectrochimica Acta - Part A: Molecular and Biomolecular Spectroscopy",253,"", 119584,,,,,10.1016/j.saa.2021.119584,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85101408576&partnerID=40&md5=0f99c64a6df785da28da0c5328fd2b87",Article,Final,,Scopus,2-s2.0-85101408576
"Sun, R., Zhao, Y., Wang, Y., Zhang, Q., Zhao, P.","57222395874; 57222394959; 57222398672; 57222394465; 57222397289","An affibody-conjugated nanoprobe for IGF-1R targeted cancer fluorescent and photoacoustic dual-modality imaging",2021,"Nanotechnology",32,"20", 205103,,,,,10.1088/1361-6528/abe437,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85102607574&partnerID=40&md5=a358e9db55a207b8ee009af373041200",Article,Final,,Scopus,2-s2.0-85102607574
"Ma, Y., Fu, S., Tan, Y., Zhang, A.","57200989427; 57211963010; 57222409094; 57222409972","Design and synthesis of highly fluorescent and stable fullerene nanoparticles as probes for folic acid detection and targeted cancer cell imaging",2021,"Nanotechnology",32,"19", 195501,,,,,10.1088/1361-6528/abdf02,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85102657578&partnerID=40&md5=dcd38e4bbbde174771c86d8db75f99ec",Article,Final,,Scopus,2-s2.0-85102657578
"Hu, J., Wang, L., Zhang, X., Yu, W., Gao, H.-W., Solin, N., Hu, Z., Uvdal, K.","56237201000; 57202533506; 57208428605; 57221745954; 36077491500; 56615093400; 57217720891; 6701374426","Selective colorimetric detection of copper (II) by a protein-based nanoprobe",2021,"Spectrochimica Acta - Part A: Molecular and Biomolecular Spectroscopy",252,"", 119462,,,,,10.1016/j.saa.2021.119462,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85100047177&partnerID=40&md5=97bda23fd0f523a0030b47dee147c131",Article,Final,,Scopus,2-s2.0-85100047177
"Gong, C., Li, Z., Liu, G., Pu, S.","57218922377; 57204351449; 57193427467; 8593121500","Ratiometric fluorescent sensing for phosphate based on Eu/Ce/UiO-66-(COOH)<inf>2</inf> nanoprobe",2021,"Spectrochimica Acta - Part A: Molecular and Biomolecular Spectroscopy",252,"", 119493,,,,,10.1016/j.saa.2021.119493,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85100408612&partnerID=40&md5=27267fbb2c15940322589c1d4c0c8b88",Article,Final,,Scopus,2-s2.0-85100408612
"Zhu, S., Liu, L., Sun, J., Shi, F., Zhao, X.-E.","55476215800; 57211989511; 57221310687; 57221557865; 8352165100","A ratiometric fluorescence assay for bleomycin based on dual-emissive chameleon DNA-templated silver nanoclusters",2021,"Spectrochimica Acta - Part A: Molecular and Biomolecular Spectroscopy",252,"", 119521,,,,,10.1016/j.saa.2021.119521,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85100633267&partnerID=40&md5=3cf3612b024cc5bb54593059e1f12612",Article,Final,,Scopus,2-s2.0-85100633267
"Gao, J.-J., Lang, X.-X., Yu, Q.-Q., Li, H.-Y., Wang, H.-J., Wang, M.-Q.","57218707829; 57220048480; 57211963279; 57201481200; 57221731383; 56962991000","Amphiphilic BODIPY-based nanoparticles as “light-up” fluorescent probe for PAEs detection by an aggregation/disaggregation approach",2021,"Spectrochimica Acta - Part A: Molecular and Biomolecular Spectroscopy",252,"", 119492,,,,,10.1016/j.saa.2021.119492,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85099917163&partnerID=40&md5=8c9ec1da9a09988f8a0b3dd0e86e8709",Article,Final,,Scopus,2-s2.0-85099917163
"Shen, Y.-M., Gao, M.-Y., Chen, X., Shen, A.-G., Hu, J.-M.","57222014345; 57206516904; 57216927391; 55767652000; 15822681000","Fine synthesis of Prussian-blue analogue coated gold nanoparticles (Au@PBA NPs) for sorting specific cancer cell subtypes",2021,"Spectrochimica Acta - Part A: Molecular and Biomolecular Spectroscopy",252,"", 119566,,,,,10.1016/j.saa.2021.119566,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85101049951&partnerID=40&md5=ff232d00eb7513d23ff30eb2c3a8f378",Article,Final,,Scopus,2-s2.0-85101049951
"Cheng, W., Tang, P., He, X., Xing, X., Liu, S., Zhang, F., Lu, X., Zhong, L.","57208320755; 57203217294; 57208321942; 57212219457; 55251942500; 57222555241; 7404839049; 7201519136","Au/Ag composite-based SERS nanoprobe of Cr<sup>3+</sup>",2021,"Analytical and Bioanalytical Chemistry",413,"11",,2951,2960,,,10.1007/s00216-021-03228-4,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85103179005&partnerID=40&md5=25fba11ff043eb9676a8ec58c6f05760",Article,Final,,Scopus,2-s2.0-85103179005
"Luo, W., Liu, H., Liu, X., Liu, L., Zhao, W.","57216160126; 57222101057; 57222085044; 57216159671; 7403942600","Biocompatibility nanoprobe of MXene N-Ti<inf>3</inf>C<inf>2</inf> quantum dot/Fe<sup>3+</sup> for detection and fluorescence imaging of glutathione in living cells",2021,"Colloids and Surfaces B: Biointerfaces",201,"", 111631,,,,,10.1016/j.colsurfb.2021.111631,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85101306515&partnerID=40&md5=4f487023f38db4d16e874d581b99a31c",Article,Final,,Scopus,2-s2.0-85101306515
"Dai, X., Lu, L., Zhang, X., Song, Z.-L., Song, W., Chao, Q., Li, Q., Wang, W., Chen, J., Fan, G.-C., Luo, X.","57203192428; 57222018541; 57221502888; 35775737400; 57219272504; 57222034403; 57222027695; 57222024161; 57222013028; 56087777800; 8521860300","MnO<inf>2</inf> shell-isolated SERS nanoprobe for the quantitative detection of ALP activity in trace serum: Relying on the enzyme-triggered etching of MnO<inf>2</inf> shell to regulate the signal",2021,"Sensors and Actuators, B: Chemical",334,"", 129605,,,,,10.1016/j.snb.2021.129605,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85101014802&partnerID=40&md5=a0285aa40f5f63a1e981eca4a03ff301",Article,Final,,Scopus,2-s2.0-85101014802
"Xie, B.-R., Yu, Y., Liu, X.-H., Zeng, J.-Y., Zou, M.-Z., Li, C.-X., Zeng, X., Zhang, X.-Z.","57034736300; 56143688000; 57200580681; 57191252115; 56878360600; 57191370342; 35333361800; 7410264815","A near infrared ratiometric platform based π-extended porphyrin metal-organic framework for O<inf>2</inf> imaging and cancer therapy",2021,"Biomaterials",272,"", 120782,,,,,10.1016/j.biomaterials.2021.120782,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85103690327&partnerID=40&md5=f82c3c4de5058e592a1fd0d255835347",Article,Final,,Scopus,2-s2.0-85103690327
"Ali, H.R.H., Hassan, A.I., Hassan, Y.F., El-Wekil, M.M.","16303265700; 23094193600; 57212006840; 56192749700","Nitrite fluorometric nanoprobe based on α-MnO<inf>2</inf> nanorods functionalized with a fluorescence reporter dye",2021,"Microchemical Journal",164,"", 105982,,,,,10.1016/j.microc.2021.105982,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85100015583&partnerID=40&md5=422976f82a86df3fe30cae3f1dbfc40f",Article,Final,,Scopus,2-s2.0-85100015583
"Farahavar, G., Abolmaali, S.S., Nejatollahi, F., Safaie, A., Javanmardi, S., Khajeh Zadeh, H., Yousefi, R., Nadgaran, H., Mohammadi-Samani, S., Tamaddon, A.M., Ahadian, S.","57211086283; 55050383400; 26635658700; 57222667277; 55212383500; 57222666965; 10739992600; 8688869400; 6603186776; 16200173200; 16302940000","Single-chain antibody-decorated Au nanocages@liposomal layer nanoprobes for targeted SERS imaging and remote-controlled photothermal therapy of melanoma cancer cells",2021,"Materials Science and Engineering C",124,"", 112086,,,,,10.1016/j.msec.2021.112086,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85103687734&partnerID=40&md5=f7e9bcc41c8b14e5c23c3091280230f2",Article,Final,,Scopus,2-s2.0-85103687734
"Tang, C., Long, R., Tong, X., Guo, Y., Tong, C., Shi, S.","57210946130; 57202817607; 57204685278; 57188705965; 57200075218; 8325637400","Dual-emission biomass carbon dots for near-infrared ratiometric fluorescence determination and imaging of ascorbic acid",2021,"Microchemical Journal",164,"", 106000,,,,,10.1016/j.microc.2021.106000,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85100676579&partnerID=40&md5=2503b024a219252f79c1f5f3f96f3d58",Article,Final,,Scopus,2-s2.0-85100676579
"Fu, X., Li, X., Han, D., Yang, W., Liu, C., Fan, L., Ding, S., Ma, Y.","57222016201; 57070092500; 57222816696; 57205353637; 57210315185; 57209332848; 23495205000; 57221774381","Ultrasensitive electrochemical biosensor for des-gamma-carboxy prothrombin analysis based on core-shell Pd@PtCu-alloy loaded on WS<inf>2</inf> nanosheet",2021,"Journal of Electroanalytical Chemistry",888,"", 115213,,,,,10.1016/j.jelechem.2021.115213,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85104082663&partnerID=40&md5=df337ae6123af0cf5d647187de33b114",Article,Final,,Scopus,2-s2.0-85104082663
"Wang, Y., Hu, Y., Weng, W., Chang, S., Xu, H., Li, D., Li, D.","36619848100; 57222242758; 57209969036; 57204954728; 57196462739; 56623652500; 56192914100","Nitrogen-doped graphene quantum dots based fluorescent probe for highly sensitive detection of thiosulfate anion and oxidative compounds",2021,"Journal of Photochemistry and Photobiology A: Chemistry",412,"", 113234,,,,,10.1016/j.jphotochem.2021.113234,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85101983216&partnerID=40&md5=4751d600580f710b4d4c08e0c6ccffed",Article,Final,,Scopus,2-s2.0-85101983216
"Wang, N., Wang, J., Zhao, X., Chen, H., Xu, H., Bai, L., Wang, W., Yang, H., Wei, D., Yuan, B.","57213488697; 57198893472; 57207103330; 7501610528; 57221722509; 26632883400; 35093355700; 55933009700; 57219199843; 55371488000","Highly sensitive electrochemical immunosensor for the simultaneous detection of multiple tumor markers for signal amplification",2021,"Talanta",226,"", 122133,,,,,10.1016/j.talanta.2021.122133,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85099989639&partnerID=40&md5=40ece71ebce3a619be0757f67021ee3e",Article,Final,,Scopus,2-s2.0-85099989639
"Ma, X., Huang, G., Ye, M., Zhang, X., Wang, Y., Liang, T., Deng, H., Li, C.","57222092685; 57222084204; 57222099322; 57220813239; 8431788200; 57220824274; 57221975989; 35305439700","A homogeneous biosensor for Human Epididymis Protein 4 based on upconversion luminescence resonance energy transfer",2021,"Microchemical Journal",164,"", 106083,,,,,10.1016/j.microc.2021.106083,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85101413174&partnerID=40&md5=7b99cdaf90e89d2eaeb9e76cc4806c5f",Article,Final,,Scopus,2-s2.0-85101413174
"Egloff, S., Melnychuk, N., Reisch, A., Martin, S., Klymchenko, A.S.","57201419151; 57203590608; 24922000600; 57212400056; 35580586500","Enzyme-free amplified detection of cellular microRNA by light-harvesting fluorescent nanoparticle probes",2021,"Biosensors and Bioelectronics",179,"", 113084,,,,1,10.1016/j.bios.2021.113084,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85101051438&partnerID=40&md5=8480810cfddadcf2376eedcdd59986d8",Article,Final,,Scopus,2-s2.0-85101051438
